Country,Paydex Score,SER Score,SSI Score
Taiwan,58,1,3
France,50,9,8
Taiwan,61,3,3
Taiwan,NO PAYDEX,3,1
Germany,77,1,6
United States,71,5,7
United States,72,8,10
United States,72,8,10
United States,75,3,4
United States,70,4,7
United States,66,1,0
United States,79,1,2
Germany,None,1,4
United States,65,1,5
United States,66,5,4
United States,77,2,3
United States,79,3,3
United States,64,5,6
United States,67,4,5
Japan,NO PAYDEX,2,3
Hong Kong,NO PAYDEX,3,7
United States,63,5,6
United States,80,2,1
Japan,NO PAYDEX,2,3
United States,76,4,4
Japan,NO PAYDEX,2,5
NO COUNTRY,NO PAYDEX,NO SER,NO SSI
Netherlands,78,4,5
United States,64,4,1
United States,75,1,1
Netherlands,None,4,2
Cannot,Delivered,Data,Reviewed
Cannot,Delivered,Data,Reviewed
United States,58,8,9
United States,73,4,1
Switzerland,79,1,7
Japan,NO PAYDEX,3,4
United States,None,6,8
United Kingdom,75,5,3
United States,76,1,6
France,64,4,7
Ireland,NO PAYDEX,5,3
United States,75,3,2
Netherlands,None,3,6
United States,79,1,1
Italy,76,1,4
Brazil,None,NO SER,6
Italy,80,4,10
Czech Republic,86,1,5
Singapore,59,2,5
United States,79,2,1
Russian Federation,NO PAYDEX,NO SER,1
Indonesia,NO PAYDEX,NO SER,2
Canada,70,5,4
Taiwan,NO PAYDEX,3,6
United States,73,6,6
United States,79,2,2
United States,74,5,6
United States,76,6,2
United States,76,6,2
Canada,None,7,5
Japan,NO PAYDEX,7,3
United Kingdom,77,6,1
Netherlands,12,7,5
Canada,78,3,4
Germany,80,4,5
United States,67,8,7
United States,None,8,4
South Africa,NO PAYDEX,NO SER,8
Japan,NO PAYDEX,6,4
United States,71,6,6
United States,62,5,6
United States,75,2,1
Republic Of Korea,NO PAYDEX,NO SER,6
Brazil,None,NO SER,2
United States,66,5,6
Ireland,None,5,3
South Africa,NO PAYDEX,NO SER,9
United States,69,8,3
China,10,NO SER,1
United States,75,3,3
United States,72,8,3
Republic Of Korea,NO PAYDEX,NO SER,2
United States,80,2,1
Japan,NO PAYDEX,2,3
United States,None,4,6
United States,76,4,1
United States,80,1,0
France,63,1,4
Japan,NO PAYDEX,2,3
Canada,59,4,5
Switzerland,None,2,1
Thailand,80,4,5
Japan,NO PAYDEX,3,3
China,999,NO SER,6
United States,77,6,1
Canada,NO PAYDEX,8,6
China,80,NO SER,1
Republic Of Korea,NO PAYDEX,NO SER,9
Japan,NO PAYDEX,4,4
Brazil,NO PAYDEX,NO SER,2
Brazil,None,NO SER,2
Japan,NO PAYDEX,4,5
Switzerland,NO PAYDEX,1,0
United States,74,6,5
Singapore,59,4,6
United States,69,3,4
United Kingdom,79,8,2
United States,69,4,1
Australia,78,1,2
Germany,72,6,3
Singapore,47,6,4
Netherlands,70,1,2
Japan,NO PAYDEX,1,5
Japan,NO PAYDEX,1,5
United States,52,8,5
Japan,NO PAYDEX,5,5
Sri Lanka,NO PAYDEX,NO SER,0
Taiwan,NO PAYDEX,2,None
India,80,NO SER,3
United States,80,3,1
United States,78,6,4
United States,69,1,6
United States,56,4,10
United States,75,6,8
United States,76,4,1
United States,78,5,4
Mexico,65,NO SER,None
United States,None,8,8
Brazil,None,NO SER,2
Singapore,70,2,2
Brazil,None,NO SER,2
Netherlands,80,4,2
United States,62,5,9
United States,64,2,2
United States,70,6,3
Japan,NO PAYDEX,2,4
United States,68,5,3
United States,74,4,0
United States,68,5,10
Taiwan,76,2,3
United States,69,1,1
Japan,NO PAYDEX,2,3
Japan,NO PAYDEX,2,6
Japan,NO PAYDEX,1,5
Croatia,81,NO SER,9
Germany,79,1,3
